t,o,h,l,c,v
1641450600000,43099.0,43149.0,42911.0,42955.0,200959
1641451500000,42954.0,43122.0,42938.0,43084.0,180538
1641452400000,43098.0,43211.0,43000.0,43140.0,179836
1641453300000,43140.0,43200.0,43089.0,43194.0,75649
1641454200000,43195.0,43231.0,43029.0,43054.0,106995
1641455100000,43054.0,43264.0,43016.0,43229.0,195660
1641456000000,43229.0,43253.0,43080.0,43099.0,215764
1641456900000,43100.0,43220.0,42981.0,43085.0,226696
1641457800000,43085.0,43179.0,42917.0,42978.0,373138
1641458700000,42979.0,43083.0,42941.0,43053.0,207721
1641459600000,43053.0,43085.0,42866.0,42934.0,268904
1641460500000,42934.0,42988.0,42687.0,42758.0,465073
1641461400000,42749.0,42900.0,42530.0,42801.0,733208
1641462300000,42802.0,42862.0,42400.0,42590.0,785089
1641463200000,42590.0,42758.0,42582.0,42655.0,353055
1641464100000,42656.0,42848.0,42580.0,42816.0,281007
1641465000000,42815.0,42950.0,42739.0,42749.0,371300
1641465900000,42749.0,42931.0,42728.0,42868.0,333343
1641466800000,42883.0,42950.0,42815.0,42940.0,171843
1641467700000,42939.0,42942.0,42743.0,42786.0,254199
1641468600000,42785.0,42868.0,42683.0,42688.0,241808
1641469500000,42688.0,42930.0,42688.0,42858.0,170206
1641470400000,42857.0,42933.0,42744.0,42749.0,160766
1641471300000,42749.0,42839.0,42634.0,42647.0,249542
1641472200000,42661.0,42829.0,42650.0,42755.0,235202
1641473100000,42755.0,43061.0,42743.0,43051.0,382961
1641474000000,43051.0,43189.0,42953.0,43045.0,596014
1641474900000,43045.0,43090.0,42917.0,42998.0,333693
1641475800000,42997.0,43012.0,42896.0,42992.0,253280
1641476700000,42992.0,43182.0,42948.0,43130.0,284907
1641477600000,43131.0,43180.0,43012.0,43030.0,243560
1641478500000,43030.0,43040.0,42849.0,42876.0,358214
1641479400000,42876.0,43231.0,42876.0,43117.0,512672
1641480300000,43118.0,43128.0,42767.0,42800.0,617235
1641481200000,42803.0,42866.0,42655.0,42727.0,498100
1641482100000,42726.0,42931.0,42726.0,42870.0,358924
1641483000000,42869.0,43006.0,42830.0,42887.0,265762
1641483900000,42883.0,43011.0,42848.0,42948.0,199910
1641484800000,42948.0,43038.0,42880.0,42989.0,220926
1641485700000,42990.0,43090.0,42835.0,42858.0,285316
1641486600000,42858.0,42952.0,42756.0,42882.0,398704
1641487500000,42882.0,42921.0,42806.0,42881.0,224442
1641488400000,42881.0,42998.0,42841.0,42842.0,287393
1641489300000,42841.0,43043.0,42787.0,43035.0,286600
1641490200000,43036.0,43149.0,42970.0,43129.0,407957
1641491100000,43131.0,43157.0,42987.0,42997.0,229221
1641492000000,42998.0,43173.0,42968.0,43130.0,180572
1641492900000,43130.0,43140.0,43001.0,43046.0,148951
1641493800000,43047.0,43159.0,43017.0,43156.0,191851
1641494700000,43160.0,43400.0,43118.0,43354.0,654385
1641495600000,43354.0,43404.0,43216.0,43313.0,268306
1641496500000,43311.0,43449.0,43288.0,43362.0,193601
1641497400000,43361.0,43447.0,43306.0,43435.0,216781
1641498300000,43434.0,43488.0,43400.0,43412.0,210824
1641499200000,43412.0,43560.0,43376.0,43381.0,491692
1641500100000,43380.0,43381.0,43111.0,43307.0,510660
1641501000000,43308.0,43328.0,43119.0,43209.0,383639
1641501900000,43209.0,43245.0,43099.0,43207.0,286883
1641502800000,43214.0,43233.0,43120.0,43146.0,149158
1641503700000,43146.0,43230.0,43072.0,43184.0,253684
1641504600000,43185.0,43242.0,43113.0,43119.0,160243
1641505500000,43118.0,43176.0,43062.0,43110.0,141629
1641506400000,43111.0,43152.0,43020.0,43022.0,148360
1641507300000,43022.0,43172.0,43009.0,43130.0,214829
1641508200000,43131.0,43243.0,43090.0,43102.0,213822
1641509100000,43102.0,43190.0,43101.0,43175.0,61327
1641510000000,43176.0,43187.0,43096.0,43140.0,112169
1641510900000,43144.0,43149.0,43070.0,43145.0,111681
1641511800000,43145.0,43225.0,43105.0,43200.0,111080
1641512700000,43201.0,43217.0,43095.0,43096.0,104364
1641513600000,43095.0,43150.0,42877.0,42914.0,364710
1641514500000,42914.0,42984.0,42812.0,42895.0,320797
1641515400000,42894.0,42921.0,42728.0,42768.0,307304
1641516300000,42767.0,42880.0,42766.0,42796.0,145151
1641517200000,42796.0,42986.0,42796.0,42932.0,188004
1641518100000,42932.0,42988.0,42808.0,42971.0,192020
1641519000000,42970.0,43026.0,42910.0,42947.0,167814
1641519900000,42948.0,43024.0,42929.0,43001.0,86920
1641520800000,43001.0,43019.0,42851.0,42869.0,120063
1641521700000,42869.0,42950.0,42867.0,42928.0,93801
1641522600000,42931.0,42954.0,42756.0,42812.0,144829
1641523500000,42812.0,42864.0,42779.0,42804.0,121890
1641524400000,42804.0,42824.0,42675.0,42767.0,248391
1641525300000,42766.0,42812.0,42090.0,42264.0,1621375
1641526200000,42264.0,42309.0,41504.0,41826.0,2132580
1641527100000,41826.0,41976.0,41737.0,41772.0,595591
1641528000000,41777.0,41900.0,41603.0,41733.0,499397
1641528900000,41732.0,41740.0,41127.0,41436.0,1517882
1641529800000,41437.0,41437.0,40952.0,41420.0,1465567
1641530700000,41419.0,41776.0,41411.0,41674.0,835020
1641531600000,41673.0,41853.0,41520.0,41720.0,464620
1641532500000,41720.0,41883.0,41706.0,41784.0,467239
1641533400000,41784.0,41944.0,41667.0,41708.0,623487
1641534300000,41708.0,41870.0,41633.0,41839.0,382915
1641535200000,41839.0,41848.0,41600.0,41646.0,285843
1641536100000,41647.0,41760.0,41520.0,41629.0,428493
1641537000000,41629.0,41710.0,41429.0,41522.0,557579
1641537900000,41522.0,41562.0,41410.0,41532.0,213598
1641538800000,41532.0,41544.0,41214.0,41273.0,593755
1641539700000,41270.0,41614.0,41258.0,41611.0,427093
1641540600000,41612.0,41692.0,41421.0,41461.0,244930
1641541500000,41461.0,41724.0,41460.0,41701.0,270650
1641542400000,41702.0,41787.0,41606.0,41744.0,309921
1641543300000,41744.0,42898.0,41647.0,42290.0,1473102
1641544200000,42300.0,42597.0,42112.0,42195.0,739978
1641545100000,42190.0,42235.0,42054.0,42082.0,186789
1641546000000,42082.0,42348.0,42067.0,42337.0,256940
1641546900000,42337.0,42542.0,42249.0,42418.0,309310
1641547800000,42417.0,42620.0,42412.0,42470.0,242043
1641548700000,42469.0,42514.0,42374.0,42414.0,168058
1641549600000,42414.0,42524.0,42365.0,42458.0,169422
1641550500000,42445.0,42459.0,42315.0,42331.0,271573
1641551400000,42330.0,42367.0,42265.0,42311.0,210463
1641552300000,42312.0,42334.0,42169.0,42169.0,186701
1641553200000,42170.0,42304.0,42155.0,42260.0,319270
1641554100000,42260.0,42341.0,42220.0,42241.0,322978
1641555000000,42242.0,42269.0,42179.0,42241.0,185261
1641555900000,42241.0,42296.0,42189.0,42245.0,176322
1641556800000,42245.0,42361.0,42245.0,42349.0,272204
1641557700000,42349.0,42459.0,42306.0,42430.0,254338
1641558600000,42435.0,42497.0,42381.0,42458.0,221639
1641559500000,42459.0,42481.0,42358.0,42391.0,195528
1641560400000,42391.0,42476.0,42185.0,42230.0,286504
1641561300000,42229.0,42334.0,42179.0,42295.0,270502
1641562200000,42295.0,42761.0,41206.0,41404.0,2408374
1641563100000,41403.0,41742.0,41300.0,41483.0,960593
1641564000000,41489.0,41725.0,41388.0,41711.0,432677
1641564900000,41712.0,41859.0,41646.0,41843.0,382077
1641565800000,41844.0,41997.0,41580.0,41959.0,712330
1641566700000,41959.0,42112.0,41864.0,41883.0,406008
1641567600000,41883.0,41900.0,41516.0,41568.0,525185
1641568500000,41569.0,41730.0,41384.0,41584.0,464203
1641569400000,41584.0,41663.0,41125.0,41260.0,688160
1641570300000,41250.0,41448.0,40555.0,41310.0,2314294
1641571200000,41309.0,41560.0,41029.0,41193.0,913675
1641572100000,41193.0,41831.0,40920.0,41675.0,1118568
1641573000000,41677.0,41767.0,41541.0,41718.0,562657
1641573900000,41717.0,42300.0,41644.0,42139.0,869398
1641574800000,42133.0,42155.0,41923.0,41971.0,515001
1641575700000,41970.0,42034.0,41775.0,41907.0,368139
1641576600000,41907.0,41907.0,41756.0,41881.0,239941
1641577500000,41880.0,41999.0,41855.0,41989.0,183087
1641578400000,41989.0,41990.0,41861.0,41906.0,181325
1641579300000,41906.0,41979.0,41644.0,41654.0,197676
1641580200000,41656.0,41834.0,41655.0,41677.0,234882
1641581100000,41677.0,41719.0,41516.0,41702.0,294042
1641582000000,41703.0,41756.0,41516.0,41534.0,225874
1641582900000,41534.0,41726.0,41534.0,41726.0,115649
1641583800000,41726.0,41816.0,41685.0,41776.0,205860
1641584700000,41780.0,41885.0,41717.0,41763.0,180226
1641585600000,41764.0,41940.0,41697.0,41721.0,236216
1641586500000,41722.0,41744.0,41599.0,41675.0,278226
1641587400000,41678.0,41879.0,41644.0,41836.0,209379
1641588300000,41837.0,42061.0,41786.0,41909.0,298245
1641589200000,41910.0,42019.0,41872.0,41872.0,139217
1641590100000,41872.0,41972.0,41844.0,41850.0,119256
1641591000000,41850.0,41965.0,41848.0,41918.0,88628
1641591900000,41915.0,41955.0,41866.0,41868.0,65125
1641592800000,41865.0,41865.0,41698.0,41698.0,185532
1641593700000,41698.0,41816.0,41674.0,41771.0,107057
1641594600000,41772.0,41772.0,41538.0,41559.0,116209
1641595500000,41558.0,41658.0,41324.0,41530.0,393630
1641596400000,41529.0,41585.0,41432.0,41463.0,192237
1641597300000,41464.0,41535.0,41329.0,41489.0,215554
1641598200000,41498.0,41580.0,41490.0,41561.0,80500
1641599100000,41561.0,41566.0,41430.0,41550.0,130229
1641600000000,41554.0,41749.0,41554.0,41705.0,315333
1641600900000,41706.0,41823.0,41688.0,41775.0,248597
1641601800000,41775.0,41810.0,41688.0,41789.0,77474
1641602700000,41790.0,42108.0,41777.0,41990.0,357826
1641603600000,41991.0,42223.0,41928.0,42171.0,391803
1641604500000,42170.0,42170.0,41921.0,41984.0,199544
1641605400000,41984.0,42043.0,41919.0,42005.0,117055
1641606300000,42005.0,42045.0,41827.0,41877.0,127894
1641607200000,41876.0,41924.0,41801.0,41849.0,100229
1641608100000,41849.0,41900.0,41784.0,41808.0,89301
1641609000000,41813.0,41813.0,41680.0,41722.0,100835
1641609900000,41722.0,41874.0,41722.0,41864.0,108991
1641610800000,41863.0,41888.0,41809.0,41830.0,55824
1641611700000,41831.0,41835.0,41634.0,41752.0,152651
1641612600000,41751.0,41850.0,41693.0,41792.0,90615
1641613500000,41791.0,41850.0,41701.0,41795.0,96162
1641614400000,41796.0,41900.0,41789.0,41812.0,97110
1641615300000,41813.0,41879.0,41790.0,41827.0,45619
1641616200000,41827.0,41991.0,41746.0,41942.0,117851
1641617100000,41942.0,41975.0,41874.0,41890.0,84161
1641618000000,41891.0,41923.0,41830.0,41918.0,70388
1641618900000,41919.0,41949.0,41877.0,41948.0,42663
1641619800000,41948.0,41949.0,41835.0,41868.0,57119
1641620700000,41868.0,41982.0,41831.0,41948.0,66437
1641621600000,41955.0,41975.0,41860.0,41867.0,52417
1641622500000,41879.0,41951.0,41850.0,41861.0,61614
1641623400000,41862.0,41862.0,41731.0,41822.0,117877
1641624300000,41822.0,41922.0,41726.0,41911.0,82095
1641625200000,41912.0,41950.0,41878.0,41897.0,64252
1641626100000,41897.0,41912.0,41825.0,41882.0,57141
1641627000000,41881.0,41949.0,41831.0,41844.0,68503
1641627900000,41850.0,41944.0,41833.0,41906.0,53587
1641628800000,41907.0,42163.0,41906.0,42113.0,242970
1641629700000,42113.0,42113.0,41968.0,41977.0,131518
1641630600000,41978.0,42016.0,41868.0,41928.0,185027
1641631500000,41927.0,42011.0,41909.0,41951.0,136789
1641632400000,41950.0,42084.0,41950.0,42083.0,130347
1641633300000,42085.0,42090.0,41957.0,41990.0,81102
1641634200000,41987.0,42140.0,41940.0,42093.0,132849
1641635100000,42093.0,42135.0,42050.0,42135.0,70175
1641636000000,42135.0,42179.0,42040.0,42089.0,85872
1641636900000,42088.0,42088.0,42003.0,42081.0,58250
1641637800000,42081.0,42120.0,41968.0,42008.0,93344
1641638700000,42008.0,42009.0,41783.0,41904.0,225432
1641639600000,41903.0,41916.0,41761.0,41799.0,166394
1641640500000,41799.0,41856.0,41766.0,41807.0,150482
1641641400000,41807.0,41881.0,41750.0,41869.0,89306
1641642300000,41869.0,41944.0,41853.0,41921.0,71647
1641643200000,41920.0,42030.0,41868.0,41973.0,109169
1641644100000,41973.0,41974.0,41827.0,41887.0,64473
1641645000000,41887.0,41898.0,41759.0,41765.0,120526
1641645900000,41765.0,41890.0,41764.0,41865.0,136641
1641646800000,41865.0,41920.0,41788.0,41838.0,82065
1641647700000,41838.0,41902.0,41586.0,41876.0,389234
1641648600000,41875.0,41935.0,41809.0,41897.0,135799
1641649500000,41897.0,42013.0,41850.0,41890.0,195469
1641650400000,41891.0,41971.0,41873.0,41957.0,117813
1641651300000,41956.0,41977.0,41840.0,41876.0,111561
1641652200000,41877.0,41899.0,41787.0,41843.0,126734
1641653100000,41843.0,41880.0,41711.0,41739.0,125539
1641654000000,41739.0,41790.0,41420.0,41586.0,743090
1641654900000,41585.0,41708.0,41577.0,41628.0,166774
1641655800000,41628.0,41677.0,41512.0,41668.0,159938
1641656700000,41667.0,41724.0,41573.0,41614.0,148542
1641657600000,41615.0,41722.0,41512.0,41699.0,201346
1641658500000,41699.0,41717.0,41481.0,41528.0,167107
1641659400000,41528.0,41528.0,41272.0,41438.0,431616
1641660300000,41438.0,41528.0,41223.0,41348.0,398332
1641661200000,41348.0,41399.0,41112.0,41186.0,556612
1641662100000,41187.0,41364.0,41179.0,41270.0,259432
1641663000000,41270.0,41270.0,40946.0,41119.0,638599
1641663900000,41120.0,41305.0,40802.0,40844.0,815515
1641664800000,40844.0,41075.0,40580.0,40800.0,1282677
1641665700000,40800.0,41320.0,40734.0,41116.0,995186
1641666600000,41116.0,41210.0,40971.0,40996.0,422888
1641667500000,40995.0,41079.0,40630.0,40679.0,624184
1641668400000,40679.0,41080.0,40501.0,41009.0,1341792
1641669300000,41010.0,41049.0,40663.0,40816.0,489380
1641670200000,40809.0,40998.0,40740.0,40756.0,376411
1641671100000,40759.0,40941.0,40704.0,40839.0,371244
1641672000000,40839.0,40975.0,40746.0,40803.0,343603
1641672900000,40803.0,41062.0,40733.0,41020.0,255558
1641673800000,41021.0,41200.0,40957.0,41036.0,423424
1641674700000,41036.0,41061.0,40917.0,40967.0,273910
1641675600000,40977.0,41174.0,40937.0,41154.0,270704
1641676500000,41156.0,41453.0,41101.0,41421.0,519219
1641677400000,41414.0,42063.0,41380.0,41939.0,1207256
1641678300000,41939.0,42062.0,41729.0,41780.0,810342
1641679200000,41780.0,42093.0,41745.0,41978.0,523398
1641680100000,41979.0,42322.0,41930.0,42303.0,593378
1641681000000,42302.0,42303.0,42042.0,42168.0,368632
1641681900000,42162.0,42181.0,41872.0,41924.0,410075
1641682800000,41921.0,41948.0,41814.0,41866.0,293343
1641683700000,41867.0,41929.0,41775.0,41784.0,213406
1641684600000,41783.0,41894.0,41761.0,41872.0,179451
1641685500000,41854.0,41870.0,41666.0,41689.0,359226
1641686400000,41689.0,41695.0,41386.0,41600.0,836782
1641687300000,41600.0,41679.0,41460.0,41480.0,267089
1641688200000,41481.0,41626.0,41475.0,41574.0,161909
1641689100000,41574.0,41826.0,41574.0,41776.0,350262
1641690000000,41777.0,41918.0,41686.0,41772.0,207698
1641690900000,41772.0,41791.0,41613.0,41627.0,185720
1641691800000,41628.0,41766.0,41601.0,41641.0,122448
1641692700000,41640.0,41851.0,41625.0,41813.0,93630
1641693600000,41806.0,41913.0,41781.0,41857.0,101997
1641694500000,41858.0,42004.0,41833.0,42000.0,206002
1641695400000,42001.0,42131.0,41938.0,42093.0,213663
1641696300000,42093.0,42169.0,42043.0,42098.0,236821
1641697200000,42093.0,42093.0,41924.0,41949.0,218709
1641698100000,41949.0,42024.0,41893.0,41988.0,170600
1641699000000,41986.0,41986.0,41826.0,41838.0,163378
1641699900000,41839.0,41873.0,41783.0,41830.0,139127
1641700800000,41830.0,41938.0,41800.0,41904.0,114127
1641701700000,41904.0,41998.0,41872.0,41949.0,105113
1641702600000,41959.0,42023.0,41944.0,41944.0,56039
1641703500000,41945.0,42094.0,41944.0,42073.0,103765
1641704400000,42073.0,42078.0,41958.0,41967.0,96517
1641705300000,41968.0,41968.0,41800.0,41849.0,176405
1641706200000,41848.0,41900.0,41800.0,41878.0,103344
1641707100000,41877.0,41878.0,41708.0,41749.0,147741
1641708000000,41750.0,41809.0,41674.0,41805.0,142815
1641708900000,41805.0,41820.0,41725.0,41786.0,39810
1641709800000,41786.0,41934.0,41762.0,41909.0,104616
1641710700000,41908.0,41946.0,41840.0,41863.0,108515
1641711600000,41863.0,41898.0,41812.0,41889.0,71622
1641712500000,41889.0,41889.0,41834.0,41863.0,54743
1641713400000,41863.0,41863.0,41770.0,41770.0,92371
1641714300000,41770.0,41836.0,41770.0,41794.0,70787
1641715200000,41790.0,41940.0,41784.0,41818.0,201297
1641716100000,41818.0,41832.0,41633.0,41644.0,224073
1641717000000,41644.0,41749.0,41605.0,41723.0,128328
1641717900000,41722.0,41779.0,41639.0,41656.0,88093
1641718800000,41656.0,41758.0,41634.0,41650.0,64781
1641719700000,41651.0,41676.0,41460.0,41543.0,223606
1641720600000,41544.0,41670.0,41528.0,41591.0,133573
1641721500000,41592.0,41654.0,41463.0,41509.0,206835
1641722400000,41509.0,41582.0,41408.0,41466.0,135331
1641723300000,41470.0,41547.0,41399.0,41537.0,136474
1641724200000,41536.0,41735.0,41522.0,41710.0,190217
1641725100000,41710.0,41710.0,41602.0,41640.0,144310
1641726000000,41641.0,41982.0,41641.0,41885.0,393289
1641726900000,41884.0,41920.0,41757.0,41801.0,296658
1641727800000,41801.0,41882.0,41757.0,41791.0,134718
1641728700000,41791.0,41867.0,41777.0,41866.0,113181
1641729600000,41867.0,41928.0,41690.0,41737.0,243863
1641730500000,41737.0,41758.0,41672.0,41748.0,136457
1641731400000,41748.0,41840.0,41701.0,41786.0,121003
1641732300000,41787.0,41845.0,41728.0,41728.0,169088
1641733200000,41729.0,41801.0,41681.0,41794.0,129433
1641734100000,41794.0,41895.0,41566.0,41578.0,366593
1641735000000,41579.0,41715.0,41516.0,41631.0,309992
1641735900000,41631.0,41673.0,41470.0,41474.0,238549
